iter	RMSE
0	0.880790649
1	0.854371688
2	0.8299119473
3	0.8065369067
4	0.7840885167
5	0.7615808679
6	0.7424297963
7	0.7241224669
8	0.7044542879
9	0.6867639866
10	0.6695851025
11	0.6519286004
12	0.6370476221
13	0.6222812462
14	0.6083425285
15	0.5947325674
16	0.5817679024
17	0.5680779524
18	0.5561010985
19	0.5451242554
20	0.5338191966
21	0.5228379199
22	0.5125458071
23	0.5022798928
24	0.4924910707
25	0.483841779
26	0.4752628869
27	0.4668563032
28	0.4595111787
29	0.451393835
30	0.4438459185
31	0.4368342047
32	0.4301425459
33	0.4233824806
34	0.4171869043
35	0.4115165988
36	0.4054794574
37	0.4005538765
38	0.3961537621
39	0.3921580933
40	0.3874917938
41	0.3830938726
42	0.3789049862
43	0.3742643682
44	0.3706020832
45	0.3668073892
46	0.363704613
47	0.3603562113
48	0.3572925584
49	0.3543468918
50	0.3510132885
51	0.3480163496
52	0.3455317769
53	0.3431486729
54	0.3403215983
55	0.337918667
56	0.3358711959
57	0.3338210276
58	0.3318405513
59	0.3297011565
60	0.3275524868
61	0.3258160879
62	0.3241191108
63	0.3225695957
64	0.3208557108
65	0.3190256344
66	0.3175956067
67	0.3164427265
68	0.3151171393
69	0.3137918499
70	0.3123038535
71	0.3110157207
72	0.3095649359
73	0.308372779
74	0.3073044064
75	0.3061892833
76	0.3052390709
77	0.3041863935
78	0.3034535449
79	0.3024749316
80	0.3016852469
81	0.3008901893
82	0.2999685363
83	0.2992259319
84	0.2986766943
85	0.2979857552
86	0.2973538501
87	0.2966018297
88	0.2959361757
89	0.2953398562
90	0.2946446411
91	0.2939129735
92	0.2933410218
93	0.2927980083
94	0.2921977555
95	0.2917532562
96	0.2911073856
97	0.2905634962
98	0.2899762636
99	0.2895729115
100	0.2890983389
101	0.2884419912
102	0.2880361932
103	0.2875755116
104	0.2869707922
105	0.2865138146
106	0.2861588945
107	0.2857021291
108	0.2852745336
109	0.2849095553
110	0.2845065923
111	0.2842631145
112	0.2838801704
113	0.283395478
114	0.2830118726
115	0.2825593017
116	0.282118196
117	0.2817983287
118	0.2813059969
119	0.2808994256
120	0.280581252
121	0.2801676241
122	0.2795517081
123	0.2791608529
124	0.27884159
125	0.2784768224
126	0.2781823456
127	0.2779033315
128	0.2776064904
129	0.277322183
130	0.2770999542
131	0.2767458373
132	0.2765185158
133	0.2761760522
134	0.2758629966
135	0.2755946955
136	0.2753369354
137	0.2750048301
138	0.2746997029
139	0.2744129972
140	0.2741907138
141	0.274039162
142	0.2737387864
143	0.2734761244
144	0.2731487502
145	0.2728376985
146	0.2724335953
147	0.2720469799
148	0.2717146802
149	0.2714131253
150	0.2713040415
151	0.2709981501
152	0.2707909854
153	0.2706151704
154	0.2703439589
155	0.2702842899
156	0.2699505217
157	0.2697900742
158	0.2697107549
159	0.2694313765
160	0.2690403847
161	0.2687916866
162	0.2685367782
163	0.268234697
164	0.2679514766
165	0.2677455417
166	0.2674286181
167	0.2672336134
168	0.2668785765
169	0.2667093249
170	0.2665816264
171	0.2663724861
172	0.2661903384
173	0.266079475
174	0.2657672822
175	0.2655296009
176	0.2653629996
177	0.2651439323
178	0.264935888
179	0.2647926256
180	0.2644405723
181	0.2641842936
182	0.2638732401
183	0.2635730318
184	0.2633685121
185	0.263248001
186	0.2630385998
187	0.2627555024
188	0.2624605655
189	0.2622503824
190	0.2619974031
191	0.261832696
192	0.2616324758
193	0.2614269562
194	0.2612924179
195	0.2612326356
196	0.260858142
197	0.2604928764
198	0.2603503328
199	0.2600656924
200	0.2598969927
201	0.2596255383
202	0.2593860121
203	0.2589341568
204	0.2587668599
205	0.2585792212
206	0.2583587855
207	0.2581231887
208	0.2579955816
209	0.257649557
210	0.2574287446
211	0.2571338483
212	0.2567924535
213	0.2565267414
214	0.2561829722
215	0.2559241652
216	0.2556098055
217	0.255354283
218	0.2551184776
219	0.254849111
220	0.2545368054
221	0.2542439726
222	0.2539676799
223	0.2537136072
224	0.2534527471
225	0.253218418
226	0.2530412542
227	0.2527501944
228	0.2525262291
229	0.2522186254
230	0.2520062727
231	0.2516519195
232	0.2515507578
233	0.2513870842
234	0.2512610617
235	0.2509423169
236	0.2506309786
237	0.2503391308
238	0.2500497252
239	0.2497223799
240	0.2495894093
241	0.249290535
242	0.2489752374
243	0.2487899845
244	0.2485638128
245	0.2483432554
246	0.2479901618
247	0.2479014744
248	0.2477018901
249	0.2475458637
250	0.2472005207
251	0.2469549335
252	0.2468416393
253	0.2465621238
254	0.2463947136
255	0.2460949128
256	0.2457498986
257	0.2455186253
258	0.2452150328
259	0.2449582528
260	0.244768399
261	0.2445578239
262	0.2443044018
263	0.2440082163
264	0.2437570829
265	0.2434210315
266	0.2430926402
267	0.2429203382
268	0.2427076803
269	0.2424700131
270	0.2422153915
271	0.2419449337
272	0.2416637563
273	0.2413560385
274	0.241109762
275	0.2407996322
276	0.2406193165
277	0.2404148766
278	0.2403290572
279	0.2400080323
280	0.2397132859
281	0.2394205542
282	0.2391956818
283	0.2389398183
284	0.2387835702
285	0.2386204142
286	0.2384544137
287	0.2383279796
288	0.2380331116
289	0.2379102172
290	0.237655324
291	0.2373717852
292	0.2370531636
293	0.2367869306
294	0.236642641
295	0.2363753112
296	0.2361412378
297	0.2360023094
298	0.2357879795
299	0.2354932643
300	0.2353157081
301	0.2350732245
302	0.2350349368
303	0.2347698765
304	0.2345880123
305	0.2342724757
306	0.2340023767
307	0.2336655031
308	0.2333591983
309	0.2332691053
310	0.2329922808
311	0.2328426363
312	0.2326618209
313	0.2324682113
314	0.2321952601
315	0.2319191035
316	0.2316091574
317	0.2315252628
318	0.2314583599
319	0.2312164786
320	0.2310448314
321	0.2307599978
322	0.2305229189
323	0.2303785741
