iter	Passed	Remaining
0	6	13841
1	13	13787
2	22	14848
3	28	14093
4	36	14441
5	42	14241
6	50	14312
7	57	14315
8	64	14283
9	71	14200
10	78	14104
11	85	14086
12	90	13868
13	96	13623
14	102	13566
15	109	13545
16	115	13447
17	121	13387
18	128	13362
19	135	13373
20	140	13256
21	147	13296
22	154	13306
23	160	13218
24	167	13217
25	173	13209
26	181	13248
27	188	13251
28	195	13261
29	202	13268
30	209	13299
31	216	13305
32	223	13314
33	230	13333
34	236	13302
35	246	13450
36	256	13589
37	262	13534
38	269	13553
39	277	13604
40	284	13586
41	289	13517
42	296	13506
43	302	13465
44	309	13465
45	318	13509
46	324	13504
47	332	13507
48	339	13497
49	347	13549
50	355	13593
51	364	13642
52	371	13630
53	378	13631
54	385	13633
55	392	13638
56	399	13619
57	407	13637
58	414	13632
59	421	13626
60	428	13624
61	435	13624
62	443	13643
63	450	13626
64	458	13639
65	465	13628
66	471	13615
67	479	13627
68	486	13621
69	494	13623
70	500	13608
71	507	13601
72	514	13582
73	520	13544
74	527	13546
75	534	13530
76	541	13527
77	548	13506
78	554	13486
79	561	13470
80	568	13464
81	575	13459
82	581	13440
83	588	13418
84	594	13389
85	601	13384
86	609	13407
87	617	13405
88	624	13406
89	632	13416
90	639	13419
91	646	13405
92	652	13381
93	659	13380
94	667	13379
95	674	13382
96	681	13379
97	689	13385
98	697	13384
99	705	13405
100	712	13404
101	720	13406
102	727	13402
103	735	13405
104	741	13386
105	748	13379
106	756	13386
107	764	13387
108	773	13425
109	781	13423
110	789	13432
111	796	13429
112	806	13466
113	814	13469
114	820	13456
115	827	13443
116	834	13426
117	841	13419
118	848	13411
119	855	13405
120	862	13397
121	868	13373
122	875	13360
123	882	13348
124	890	13353
125	896	13336
126	901	13297
127	908	13282
128	914	13261
129	920	13248
130	925	13210
131	931	13188
132	938	13171
133	944	13154
134	950	13135
135	957	13120
136	964	13118
137	970	13097
138	977	13085
139	984	13075
140	990	13056
141	996	13040
142	1003	13025
143	1008	12999
144	1013	12968
145	1020	12953
146	1027	12946
147	1033	12933
148	1039	12913
149	1045	12896
150	1052	12883
151	1058	12866
152	1064	12850
153	1070	12831
154	1076	12816
155	1082	12801
156	1089	12784
157	1094	12762
158	1101	12750
159	1108	12742
160	1114	12727
161	1120	12715
162	1127	12707
163	1134	12695
164	1140	12680
165	1146	12669
166	1153	12660
167	1160	12650
168	1166	12637
169	1172	12620
170	1178	12605
171	1184	12592
172	1191	12580
173	1196	12552
174	1202	12538
175	1209	12532
176	1215	12519
177	1221	12500
178	1227	12487
179	1233	12470
180	1239	12458
181	1245	12445
182	1252	12440
183	1259	12427
184	1265	12418
185	1271	12400
186	1278	12393
187	1284	12382
188	1291	12376
189	1297	12357
190	1304	12357
191	1311	12349
192	1318	12345
193	1326	12345
194	1338	12392
195	1345	12386
196	1352	12374
197	1358	12361
198	1365	12353
199	1371	12339
200	1377	12328
201	1382	12309
202	1389	12304
203	1396	12291
204	1403	12288
205	1409	12277
206	1416	12268
207	1423	12263
208	1430	12255
209	1436	12247
210	1442	12229
211	1449	12227
212	1456	12219
213	1463	12217
214	1470	12209
215	1477	12200
216	1484	12195
217	1490	12187
218	1498	12185
219	1503	12168
220	1510	12160
221	1516	12149
222	1523	12143
223	1530	12134
224	1537	12130
225	1544	12124
226	1551	12114
227	1557	12103
228	1564	12097
229	1570	12084
230	1577	12078
231	1583	12070
232	1591	12066
233	1597	12055
234	1603	12040
235	1609	12031
236	1616	12026
237	1623	12018
238	1629	12007
239	1636	11998
240	1642	11987
241	1647	11970
242	1654	11961
243	1661	11953
244	1667	11946
245	1673	11935
246	1679	11923
247	1686	11911
248	1692	11901
249	1699	11893
250	1704	11880
251	1712	11877
252	1718	11868
253	1725	11859
254	1731	11846
255	1737	11835
256	1743	11826
257	1750	11819
258	1756	11809
259	1762	11796
260	1768	11786
261	1775	11776
262	1781	11768
263	1788	11758
264	1794	11745
265	1800	11736
266	1807	11728
267	1813	11717
268	1819	11708
269	1825	11697
270	1831	11688
271	1837	11676
272	1844	11665
273	1850	11657
274	1856	11647
275	1862	11632
276	1868	11622
277	1875	11617
278	1882	11610
279	1888	11602
280	1894	11591
281	1901	11582
282	1907	11575
283	1914	11566
284	1920	11556
285	1926	11547
286	1933	11541
287	1939	11531
288	1946	11524
289	1952	11513
290	1958	11502
291	1966	11500
292	1972	11493
293	1979	11484
294	1984	11472
295	1991	11461
296	1997	11452
297	2003	11444
298	2010	11435
299	2016	11428
300	2023	11419
301	2029	11412
302	2035	11401
303	2041	11390
304	2048	11382
305	2054	11374
306	2060	11364
307	2066	11354
308	2073	11347
309	2080	11339
310	2086	11330
311	2092	11318
312	2097	11307
313	2104	11300
314	2110	11288
315	2116	11280
316	2123	11275
317	2130	11268
318	2136	11259
319	2142	11250
320	2148	11237
321	2155	11231
322	2162	11226
323	2168	11216
